code,gender,cs_exp,js_exp,video_games,age,native_tongue,english,math_grade,PRE.test,PRE.attitude_games_chang,PRE.attitude_cs_weston,PRE.attitude_cs_haynie,PRE.attitude_cs_haynie.Confidence,PRE.attitude_cs_haynie.Interest,PRE.attitude_cs_haynie.Belongingness,PRE.attitude_cs_haynie.Usefulness,PRE.attitude_cs_haynie.Encouragement,POST.test,POST.test.js,POST.sus_brooke,POST.sus_brooke.q1,POST.attitude_cs_weston,POST.attitude_cs_haynie,POST.attitude_cs_haynie.Confidence,POST.attitude_cs_haynie.Interest,POST.attitude_cs_haynie.Belongingness,POST.attitude_cs_haynie.Usefulness,POST.attitude_cs_haynie.Encouragement,DELTA.test,DELTA.attitude_cs_weston,DELTA.attitude_cs_haynie,DELTA.attitude_cs_haynie.Confidence,DELTA.attitude_cs_haynie.Interest,DELTA.attitude_cs_haynie.Belongingness,DELTA.attitude_cs_haynie.Usefulness,DELTA.attitude_cs_haynie.Encouragement
6vwu5v3v,Male,1,1,3,14,Spanish,Good,6,1.0,78.0,44.0,65.0,13.0,15.0,11.0,12.0,14.0,12.0,14.0,17.0,2.0,44.0,69.0,13.0,15.0,16.0,12.0,13.0,11.0,0.0,4.0,0.0,0.0,5.0,0.0,-1.0
77asnhcv,Female,1,1,0,15,German,Good,6,5.0,42.0,21.0,35.0,9.0,8.0,7.0,6.0,5.0,6.0,10.0,3.0,0.0,19.0,30.0,5.0,7.0,8.0,5.0,5.0,1.0,-2.0,-5.0,-4.0,-1.0,1.0,-1.0,0.0
qye1vfqh,Male,0,0,2,14,Italian,Good,6,7.0,70.0,45.5,68.5,14.0,14.0,11.5,15.0,14.0,8.0,9.0,30.0,4.0,40.0,67.0,12.0,15.0,13.0,12.0,15.0,1.0,-5.5,-1.5,-2.0,1.0,1.5,-3.0,1.0
clpw2has,Male,0,0,1,14,German,Good,5,4.0,42.0,42.5,64.0,12.0,12.0,12.0,15.0,13.0,8.0,9.0,25.0,3.0,37.0,63.0,13.0,13.0,12.0,13.0,12.0,4.0,-5.5,-1.0,1.0,1.0,0.0,-2.0,-1.0
0xuqmfnj,Male,0,0,4,15,Lithuanian,Good,5,7.0,72.0,35.0,58.5,12.0,11.0,12.0,13.0,10.5,3.0,7.0,29.0,2.0,33.5,58.0,10.0,11.0,13.0,11.0,13.0,-4.0,-1.5,-0.5,-2.0,0.0,1.0,-2.0,2.5
zzpcoj1l,Male,1,1,4,15,English,Good,6,12.0,80.0,60.0,86.0,13.0,20.0,19.0,20.0,14.0,15.0,19.0,35.0,3.0,55.0,83.0,13.0,20.0,17.0,19.0,14.0,3.0,-5.0,-3.0,0.0,0.0,-2.0,-1.0,0.0
zs8gi8ek,Other,1,0,2,14,english,Good,5,7.0,53.0,23.0,51.0,13.0,10.0,11.0,11.0,6.0,8.0,13.0,28.0,3.0,17.0,49.5,12.0,10.0,10.5,11.0,6.0,1.0,-6.0,-1.5,-1.0,0.0,-0.5,0.0,0.0
3kbjz592,Female,0,0,2,14,English,Good,6,4.0,60.0,38.0,56.5,12.0,12.0,9.5,11.0,12.0,12.0,13.0,28.0,3.0,34.0,56.5,11.0,11.0,10.5,12.0,12.0,8.0,-4.0,0.0,-1.0,-1.0,1.0,1.0,0.0
zkh2n1u1,Female,0,1,0,15,Swedish,Good,6,6.0,39.0,33.0,61.0,13.0,11.0,11.0,14.0,12.0,8.0,9.0,27.0,2.0,41.0,66.0,12.0,12.0,14.0,14.0,14.0,2.0,8.0,5.0,-1.0,1.0,3.0,0.0,2.0
oifimvvq,Female,1,1,0,15,Bengali,Good,3,8.0,54.0,33.0,63.0,12.0,10.0,11.0,15.0,15.0,7.0,11.0,19.0,2.0,38.0,68.0,15.0,10.0,14.0,13.0,16.0,-1.0,5.0,5.0,3.0,0.0,3.0,-2.0,1.0
yriky5wu,Female,0,0,4,15,Finnish,Good,6,9.0,57.0,27.0,34.0,6.0,5.0,8.0,9.0,6.0,11.0,14.0,22.0,2.0,32.0,45.0,7.0,9.0,10.0,9.0,10.0,2.0,5.0,11.0,1.0,4.0,2.0,0.0,4.0
xfpnt7ww,Female,0,1,4,14,german,Good,4,7.0,76.0,41.5,65.5,12.0,11.5,13.0,16.0,13.0,9.0,11.0,17.0,1.0,44.0,67.5,12.5,12.0,12.0,17.0,14.0,2.0,2.5,2.0,0.5,0.5,-1.0,1.0,1.0
