questionnaire,scale,question
sus_brooke,likert5,I think that I would like to use this system frequently.
sus_brooke,likert5,I found the system unnecessarily complex.
sus_brooke,likert5,I thought the system was easy to use.
sus_brooke,likert5,I think that I would need the support of a technical person to be able to use this system.
sus_brooke,likert5,I found the various functions in this system were well integrated.
sus_brooke,likert5,I thought there was too much inconsistency in this system.
sus_brooke,likert5,I would imagine that most people would learn to use this system very quickly.
sus_brooke,likert5,I found the system very cumbersome to use.
sus_brooke,likert5,I felt very confident using the system.
sus_brooke,likert5,I needed to learn a lot of things before I could get going with this system.
,,
